iter	Passed	Remaining
399	56658	651572
400	56805	651496
401	56919	651039
402	57029	650533
403	57150	650162
404	57292	650025
405	57393	649428
406	57519	649113
407	57628	648604
408	57750	648244
409	57883	648014
410	57951	647050
411	58020	646115
412	58176	646139
413	58385	646758
414	58528	646631
415	58668	646477
416	58829	646560
417	58949	646185
418	59104	646204
419	59246	646070
420	59366	645696
421	59470	645157
422	59595	644841
423	59717	644499
424	59902	644830
425	60045	644713
426	60145	644137
427	60312	644273
428	60385	643404
429	60532	643332
430	60689	643366
431	60780	642696
432	60897	642302
433	61062	642422
434	61361	643941
435	61493	643708
436	61668	643924
437	61811	643800
438	61921	643332
439	62049	643059
440	62207	643087
441	62332	642785
442	62513	643055
443	62709	643475
444	62848	643310
445	62951	642785
446	63140	643132
447	63249	642660
448	63348	642095
449	63508	642140
450	63671	642221
451	63762	641572
452	63896	641361
453	64038	641227
454	64234	641638
455	64375	641494
456	64509	641285
457	64647	641112
458	64804	641128
459	64890	640439
460	65015	640136
461	65219	640622
462	65342	640296
463	65491	640237
464	65597	639748
465	65742	639653
466	65868	639361
467	65980	638935
468	66059	638202
469	66174	637812
470	66320	637715
471	66390	636899
472	66461	636091
473	66542	635382
474	66611	634560
475	66719	634114
476	66853	633914
477	67058	634393
478	67196	634228
479	67330	634031
480	67490	634069
481	67639	634013
482	67776	633844
483	67952	634039
484	68080	633779
485	68219	633626
486	68403	633892
487	68543	633744
488	68649	633288
489	68763	632908
490	68872	632478
491	69016	632367
492	69103	631739
493	69237	631551
494	69384	631467
495	69515	631242
496	69625	630832
497	69715	630236
498	69829	629868
499	69941	629472
500	70080	629324
501	70187	628889
502	70305	628557
503	70483	628755
504	70648	628840
505	70805	628854
506	70917	628462
507	71018	627982
508	71163	627887
509	71302	627743
510	71405	627281
511	71542	627112
512	71721	627317
513	71892	627453
514	72041	627393
515	72192	627346
516	72325	627147
517	72511	627405
518	72665	627383
519	72793	627147
520	72996	627544
521	73129	627347
522	73221	626794
523	73331	626396
524	73473	626277
525	73601	626035
526	73743	625907
527	73912	626015
528	74032	625708
529	74169	625544
530	74304	625359
531	74522	625875
532	74621	625396
533	74697	624718
534	74866	624818
535	74950	624218
536	75074	623945
537	75221	623861
538	75361	623728
539	75485	623457
540	75586	622996
541	75709	622720
542	75823	622365
543	75967	622264
544	76053	621685
545	76134	621070
546	76255	620781
547	76335	620155
548	76537	620529
549	76690	620494
550	76778	619944
551	76885	619543
552	76975	619001
553	77170	619311
554	77297	619074
555	77443	618989
556	77577	618809
557	77733	618804
558	77959	619352
559	78096	619191
560	78314	619675
561	78436	619394
562	78557	619114
563	78744	619342
564	78900	619335
565	78999	618874
566	79112	618528
567	79390	619471
568	79564	619595
569	79705	619461
570	79859	619435
571	79960	618995
572	80093	618798
573	80219	618554
574	80342	618291
575	80518	618425
576	80642	618168
577	80850	618544
578	80978	618320
579	81128	618256
580	81252	617991
581	81369	617683
582	81528	617683
583	81648	617398
584	81788	617260
585	81925	617096
586	82079	617067
587	82281	617391
588	82439	617388
589	82617	617529
590	82818	617849
591	82951	617650
592	83077	617403
593	83212	617232
594	83385	617331
595	83546	617345
596	83786	617945
597	83922	617773
598	84080	617762
599	84203	617493
600	84400	617765
601	84572	617860
602	84694	617580
603	84826	617380
604	85004	617509
605	85135	617303
606	85243	616927
607	85436	617164
608	85607	617244
609	85765	617228
610	85899	617045
611	86012	616703
612	86127	616378
613	86256	616156
614	86422	616199
615	86594	616284
616	86721	616044
617	86877	616016
618	86989	615673
619	87150	615672
620	87273	615413
621	87340	614753
622	87421	614197
623	87529	613827
624	87699	613898
625	87837	613738
626	88021	613901
627	88152	613701
628	88353	613978
629	88496	613858
630	88689	614080
631	88867	614197
632	88991	613942
633	89104	613610
634	89236	613413
635	89351	613100
636	89499	613008
637	89619	612725
638	89768	612647
639	89900	612447
640	89984	611923
641	90146	611931
642	90298	611865
643	90501	612151
644	90638	611984
645	90708	611367
646	90828	611094
647	90974	610986
648	91079	610612
649	91174	610168
650	91311	610008
651	91433	609745
652	91580	609651
653	91776	609880
654	91919	609754
655	92053	609574
656	92201	609485
657	92344	609362
658	92443	608950
659	92572	608736
660	92702	608529
661	92834	608332
662	92941	607976
663	93030	607497
664	93148	607217
665	93278	607008
666	93420	606881
667	93576	606844
668	93712	606682
669	93860	606591
670	94028	606632
671	94108	606106
672	94254	606003
673	94420	606028
674	94617	606249
675	94706	605788
676	94859	605726
677	95027	605763
678	95183	605725
679	95322	605575
680	95418	605155
681	95498	604634
682	95655	604604
683	95764	604267
684	95857	603829
685	95992	603659
686	96057	603053
687	96217	603038
688	96358	602904
689	96492	602729
690	96616	602489
691	96762	602390
692	96870	602047
693	97013	601931
694	97143	601732
695	97324	601846
696	97443	601580
697	97560	601299
698	97633	600743
699	97812	600848
700	97933	600591
701	98066	600414
702	98211	600308
703	98293	599811
704	98420	599596
705	98532	599287
706	98642	598968
707	98765	598730
708	98845	598233
709	99074	598635
710	99197	598392
711	99292	597985
712	99446	597934
713	99631	598070
714	99780	597985
715	99901	597735
716	100065	597740
717	100201	597582
718	100343	597456
719	100542	597669
720	100718	597745
721	100851	597566
722	100986	597400
723	101116	597201
724	101256	597062
725	101381	596840
726	101473	596419
727	101604	596230
728	101772	596253
729	101907	596089
730	102046	595948
731	102202	595901
732	102315	595608
733	102423	595284
734	102487	594707
735	102602	594425
736	102718	594150
737	102886	594173
738	103032	594073
739	103173	593946
740	103325	593874
741	103434	593563
742	103561	593353
743	103696	593187
744	103876	593281
745	104004	593078
746	104146	592952
747	104286	592815
748	104368	592349
749	104523	592302
750	104661	592150
751	104764	591809
752	104936	591852
753	105058	591614
754	105166	591301
755	105288	591065
756	105446	591031
757	105610	591027
758	105745	590864
759	105876	590680
760	105985	590369
761	106117	590189
762	106256	590050
763	106364	589739
764	106514	589657
765	106603	589242
766	106687	588796
767	106815	588596
768	106966	588521
769	107110	588413
770	107243	588241
771	107358	587967
772	107499	587838
773	107607	587528
774	107768	587509
775	107915	587415
776	108025	587119
777	108116	586720
778	108309	586873
779	108452	586755
780	108559	586445
781	108705	586344
782	108837	586164
783	108964	585964
784	109069	585638
785	109190	585404
786	109280	585004
787	109499	585293
788	109655	585246
789	109805	585167
790	109968	585156
791	110061	584772
792	110192	584590
793	110341	584502
794	110488	584406
795	110646	584370
796	110761	584102
797	110837	583632
798	110905	583123
799	111054	583037
800	111190	582884
801	111298	582582
802	111400	582250
803	111516	581994
804	111686	582016
805	111915	582350
806	112065	582269
807	112175	581980
808	112313	581835
809	112452	581698
810	112539	581293
811	112677	581147
812	112780	580827
813	113005	581132
814	113139	580966
815	113264	580757
816	113354	580367
817	113516	580350
818	113697	580426
819	113774	579972
820	113842	579473
821	113981	579335
822	114198	579595
823	114342	579482
824	114483	579355
825	114678	579503
826	114883	579696
827	114982	579356
828	115062	578921
829	115181	578681
830	115320	578547
831	115466	578441
832	115620	578381
833	115753	578211
834	115910	578165
835	116093	578243
836	116304	578467
837	116442	578320
838	116559	578075
839	116656	577725
840	116767	577451
841	116915	577355
842	117030	577099
843	117141	576825
844	117257	576575
845	117428	576594
846	117547	576359
847	117687	576225
848	117778	575852
849	117938	575819
850	118050	575545
851	118176	575349
852	118287	575074
853	118359	574612
854	118454	574260
855	118628	574296
856	118764	574146
857	118859	573792
858	118995	573642
859	119095	573321
860	119272	573366
861	119414	573244
862	119522	572961
863	119734	573171
864	119837	572867
865	119955	572630
866	120052	572290
867	120179	572097
868	120362	572173
869	120463	571855
870	120574	571586
871	120706	571415
872	120886	571475
873	120981	571134
874	121112	570957
875	121230	570725
876	121405	570760
877	121591	570840
878	121777	570928
879	121908	570753
880	122009	570437
881	122104	570097
882	122221	569858
883	122351	569683
884	122461	569411
885	122658	569546
886	122768	569274
887	122918	569191
888	123120	569345
889	123239	569118
890	123350	568853
891	123459	568577
892	123538	568167
893	123697	568123
894	123827	567945
895	123988	567913
896	124193	568078
897	124321	567889
898	124434	567637
899	124545	567374
900	124669	567168
901	124836	567162
902	124960	566957
903	125050	566602
904	125177	566410
905	125316	566276
906	125439	566070
907	125563	565865
908	125642	565459
909	125763	565243
910	125869	564964
911	126011	564842
912	126166	564778
913	126307	564653
914	126461	564585
915	126590	564403
916	126711	564192
917	126821	563925
918	126915	563592
919	127027	563338
920	127114	562972
921	127252	562835
922	127330	562435
923	127564	562718
924	127771	562883
925	127850	562484
926	127950	562183
927	128115	562163
928	128247	561998
929	128399	561921
930	128568	561919
931	128753	561985
932	128927	562004
933	129006	561608
934	129145	561473
935	129240	561148
936	129388	561051
937	129572	561111
938	129676	560824
939	129851	560848
940	129998	560747
941	130090	560412
942	130233	560291
943	130422	560373
944	130622	560501
945	130794	560509
946	130902	560242
947	131107	560388
948	131301	560486
949	131471	560481
950	131668	560596
951	131866	560710
952	132038	560714
953	132189	560627
954	132361	560632
955	132444	560257
956	132589	560144
957	132733	560031
958	132887	559957
959	133084	560065
960	133238	559989
961	133438	560108
962	133576	559966
963	133808	560218
964	133954	560110
965	134070	559876
966	134231	559828
967	134342	559573
968	134440	559266
969	134638	559376
970	134772	559214
971	134870	558908
972	134991	558696
973	135103	558444
974	135256	558365
975	135446	558438
976	135542	558123
977	135748	558262
978	135858	558004
979	135933	557606
980	136038	557329
981	136173	557173
982	136327	557099
983	136475	556998
984	136575	556699
985	136723	556598
986	136899	556612
987	136992	556290
988	137095	556007
989	137204	555746
990	137388	555791
991	137503	555557
992	137635	555391
993	137777	555269
994	137999	555465
995	138137	555324
996	138264	555139
997	138388	554939
998	138523	554786
999	138677	554708
1000	138840	554670
1001	138969	554491
1002	139121	554404
1003	139203	554040
1004	139338	553887
1005	139444	553617
1006	139631	553674
1007	139778	553569
1008	139936	553504
1009	140054	553285
1010	140254	553388
1011	140390	553238
1012	140520	553065
1013	140689	553044
1014	140840	552954
1015	140952	552709
1016	141045	552393
1017	141135	552062
1018	141237	551782
1019	141412	551787
1020	141585	551782
1021	141741	551710
1022	141885	551590
1023	142069	551629
1024	142183	551394
1025	142262	551023
1026	142428	550991
1027	142609	551016
1028	142686	550640
1029	142786	550352
1030	142916	550179
1031	143064	550076
1032	143258	550150
1033	143366	549893
1034	143505	549759
1035	143688	549788
1036	143827	549650
1037	143953	549464
1038	144080	549280
1039	144264	549315
1040	144395	549146
1041	144508	548912
1042	144644	548761
1043	144811	548729
1044	144943	548566
1045	145036	548255
1046	145132	547956
1047	145247	547727
1048	145374	547544
1049	145534	547488
1050	145645	547244
1051	145761	547022
1052	145983	547195
1053	146085	546920
1054	146214	546744
1055	146339	546556
1056	146479	546423
1057	146559	546065
1058	146697	545926
1059	146763	545516
1060	146831	545115
1061	147000	545090
1062	147131	544926
1063	147278	544821
1064	147428	544723
1065	147538	544478
1066	147748	544605
1067	147869	544401
1068	147938	544008
1069	148044	543751
1070	148260	543897
1071	148406	543787
1072	148514	543539
1073	148620	543281
1074	148796	543279
1075	148906	543038
1076	149066	542978
1077	149207	542848
1078	149382	542843
1079	149516	542690
1080	149654	542548
1081	149831	542549
1082	150044	542681
1083	150192	542577
1084	150400	542691
1085	150547	542579
1086	150645	542296
1087	150741	542004
1088	150825	541668
1089	150907	541327
1090	151050	541205
1091	151162	540971
1092	151286	540783
1093	151388	540514
1094	151538	540418
1095	151794	540698
1096	151929	540548
1097	152052	540353
1098	152162	540114
1099	152357	540178
1100	152432	539812
1101	152558	539631
1102	152644	539307
1103	152808	539260
1104	152928	539056
1105	153069	538927
1106	153181	538695
1107	153382	538777
1108	153511	538605
1109	153667	538528
1110	153790	538336
1111	153957	538298
1112	154164	538396
1113	154323	538330
1114	154479	538252
1115	154615	538104
1116	154712	537822
1117	154861	537722
1118	154977	537505
1119	155163	537531
1120	155291	537355
1121	155405	537131
1122	155521	536915
1123	155661	536783
1124	155827	536740
1125	155971	536619
1126	156094	536426
1127	156188	536135
1128	156335	536028
1129	156423	535717
1130	156563	535584
1131	156718	535500
1132	156853	535351
1133	157044	535392
1134	157183	535254
1135	157367	535270
1136	157506	535135
1137	157630	534947
1138	157739	534706
1139	157885	534595
1140	157956	534228
1141	158071	534009
1142	158173	533748
1143	158296	533557
1144	158444	533453
1145	158651	533543
1146	158795	533425
1147	158873	533084
1148	158981	532843
1149	159128	532735
1150	159233	532483
1151	159377	532365
1152	159494	532154
1153	159668	532135
1154	159834	532088
1155	159980	531977
1156	160104	531789
1157	160236	531631
1158	160365	531463
1159	160501	531316
1160	160607	531069
1161	160700	530782
1162	160912	530886
1163	161031	530684
1164	161151	530485
1165	161297	530372
1166	161442	530257
1167	161581	530119
1168	161718	529978
1169	161831	529756
1170	161987	529676
1171	162160	529650
1172	162251	529356
1173	162350	529091
1174	162506	529010
1175	162639	528854
1176	162732	528568
1177	162853	528376
1178	162988	528226
1179	163101	528007
1180	163341	528196
1181	163505	528141
1182	163638	527986
1183	163788	527887
1184	163940	527791
1185	164101	527726
1186	164220	527525
1187	164363	527400
1188	164518	527316
1189	164668	527215
1190	164839	527183
1191	164997	527106
1192	165141	526985
1193	165270	526816
1194	165421	526719
1195	165628	526798
1196	165747	526597
1197	165878	526436
1198	165978	526175
1199	166156	526162
1200	166289	526006
1201	166394	525761
1202	166516	525571
1203	166599	525259
1204	166753	525168
1205	166907	525081
1206	166972	524712
1207	167095	524525
1208	167182	524225
1209	167305	524039
1210	167460	523953
1211	167562	523701
1212	167685	523516
1213	167827	523389
1214	168031	523457
1215	168153	523267
1216	168275	523079
1217	168432	522999
1218	168548	522789
1219	168710	522724
1220	168791	522410
1221	168924	522256
1222	169185	522496
1223	169322	522355
1224	169393	522008
1225	169502	521778
1226	169645	521655
1227	169804	521582
1228	169934	521417
1229	170051	521214
1230	170244	521243
1231	170387	521121
1232	170501	520906
1233	170650	520801
1234	170780	520637
1235	170979	520683
1236	171137	520605
1237	171267	520442
1238	171413	520326
1239	171612	520372
1240	171704	520094
1241	171846	519968
1242	171941	519696
1243	172094	519604
1244	172214	519408
1245	172336	519221
1246	172425	518934
1247	172552	518763
1248	172765	518848
1249	172855	518566
1250	172969	518354
1251	173053	518055
1252	173159	517819
1253	173296	517678
1254	173410	517469
1255	173555	517350
1256	173706	517249
1257	173941	517400
1258	174064	517217
1259	174213	517111
1260	174343	516947
1261	174523	516932
1262	174659	516787
1263	174783	516605
1264	174883	516355
1265	175068	516355
1266	175208	516223
1267	175388	516206
1268	175489	515959
1269	175645	515873
1270	175779	515722
1271	175918	515585
1272	176065	515471
1273	176214	515365
1274	176312	515110
1275	176396	514813
1276	176493	514554
1277	176589	514293
1278	176711	514107
1279	176877	514050
1280	177026	513942
1281	177127	513698
1282	177227	513447
1283	177447	513548
1284	177587	513415
1285	177697	513195
1286	177802	512959
1287	177935	512807
1288	178068	512653
1289	178212	512532
1290	178380	512482
1291	178604	512588
1292	178754	512484
1293	178896	512356
1294	179023	512186
1295	179193	512139
1296	179297	511903
1297	179402	511671
1298	179528	511498
1299	179716	511499
1300	179858	511372
1301	179925	511033
1302	179993	510693
1303	180125	510540
1304	180231	510311
1305	180332	510068
1306	180473	509937
1307	180552	509633
1308	180642	509358
1309	180798	509273
1310	180941	509149
1311	181013	508823
1312	181105	508558
1313	181227	508374
1314	181351	508198
1315	181515	508132
1316	181673	508051
1317	181792	507861
1318	181984	507873
1319	182163	507848
1320	182260	507596
1321	182427	507539
1322	182579	507440
1323	182730	507340
1324	182812	507046
1325	182962	506941
1326	183110	506829
1327	183302	506841
1328	183445	506717
1329	183558	506511
1330	183660	506274
1331	183776	506074
1332	183929	505979
1333	184000	505655
1334	184141	505525
1335	184296	505434
1336	184486	505440
1337	184578	505177
1338	184707	505013
1339	184824	504818
1340	184900	504513
1341	184984	504227
1342	185092	504009
1343	185264	503962
1344	185397	503812
1345	185625	503918
1346	185749	503743
1347	185818	503418
1348	185921	503187
1349	186063	503060
1350	186196	502908
1351	186308	502700
1352	186452	502581
1353	186547	502328
1354	186772	502423
1355	186837	502091
1356	186942	501865
1357	187084	501739
1358	187223	501605
1359	187367	501484
1360	187510	501360
1361	187642	501206
1362	187742	500968
1363	187965	501057
1364	188133	501000
1365	188249	500803
1366	188408	500723
1367	188576	500664
1368	188696	500478
1369	188846	500373
1370	188999	500277
1371	189106	500056
1372	189220	499856
1373	189336	499661
1374	189477	499530
1375	189597	499346
1376	189717	499162
1377	189817	498924
1378	189931	498726
1379	190049	498534
1380	190248	498558
1381	190399	498456
1382	190552	498356
1383	190736	498340
1384	190876	498209
1385	191030	498113
1386	191121	497851
1387	191259	497715
1388	191442	497695
1389	191577	497550
1390	191646	497233
1391	191765	497046
1392	191866	496815
1393	192027	496738
1394	192250	496818
1395	192432	496796
1396	192716	497035
1397	192858	496906
1398	192975	496714
1399	193115	496583
1400	193225	496374
1401	193374	496263
1402	193533	496179
1403	193633	495943
1404	193819	495929
1405	193974	495835
1406	194055	495551
1407	194149	495301
1408	194215	494980
1409	194330	494784
1410	194432	494556
1411	194529	494313
1412	194694	494245
1413	194871	494207
1414	195026	494112
1415	195162	493971
1416	195322	493887
1417	195587	494072
1418	195726	493936
1419	195851	493765
1420	196038	493752
1421	196280	493875
1422	196450	493819
1423	196556	493598
1424	196715	493514
1425	196847	493362
1426	196952	493140
1427	197129	493101
1428	197227	492861
1429	197402	492816
1430	197613	492859
1431	197702	492599
1432	197850	492486
1433	197936	492218
1434	198057	492038
1435	198172	491842
1436	198337	491772
1437	198444	491558
1438	198759	491857
1439	198961	491876
1440	199056	491631
1441	199268	491677
1442	199431	491599
1443	199590	491511
1444	199675	491244
1445	199932	491398
1446	200148	491448
1447	200252	491226
1448	200353	490996
1449	200503	490888
1450	200660	490794
1451	200809	490684
1452	201024	490733
1453	201175	490625
1454	201297	490446
1455	201512	490493
1456	201690	490452
1457	201830	490318
1458	201967	490176
1459	202124	490083
1460	202317	490076
1461	202439	489897
1462	202582	489769
1463	202742	489683
1464	202896	489581
1465	203021	489410
1466	203145	489239
1467	203226	488961
1468	203467	489069
1469	203567	488839
1470	203706	488701
1471	203807	488474
1472	203927	488290
1473	204018	488039
1474	204138	487857
1475	204229	487605
1476	204401	487546
1477	204589	487525
1478	204747	487435
1479	204854	487222
1480	205008	487121
1481	205116	486910
1482	205251	486763
1483	205407	486665
1484	205517	486461
1485	205702	486432
1486	205905	486447
1487	206016	486242
1488	206143	486077
1489	206326	486045
1490	206438	485842
1491	206567	485682
1492	206723	485585
1493	206862	485448
1494	207114	485576
1495	207299	485545
1496	207401	485322
1497	207534	485170
1498	207698	485092
1499	207853	484991
1500	208010	484896
1501	208248	484988
1502	208442	484979
1503	208534	484732
1504	208680	484611
1505	208855	484556
1506	208986	484398
1507	209151	484321
1508	209249	484088
1509	209482	484167
1510	209590	483957
1511	209678	483703
1512	209760	483432
1513	209857	483199
1514	210000	483069
1515	210128	482908
1516	210299	482843
1517	210544	482948
1518	210833	483154
1519	211007	483096
1520	211099	482850
1521	211220	482670
1522	211447	482733
1523	211602	482631
1524	211685	482366
1525	211912	482427
1526	212086	482369
1527	212240	482264
1528	212393	482156
1529	212560	482082
1530	212751	482061
1531	212860	481854
1532	213086	481912
1533	213215	481750
1534	213393	481699
1535	213474	481428
1536	213621	481308
1537	213741	481127
1538	214018	481297
1539	214226	481313
1540	214440	481343
