iter	Logloss
0	0.6492928759
1	0.6101699217
2	0.5756704884
3	0.5445805857
4	0.5168675013
5	0.4918792898
6	0.471622137
7	0.4530667973
8	0.4362148959
9	0.4231920538
10	0.4098349609
11	0.4002590626
12	0.3894446432
13	0.3796383121
14	0.3715660676
15	0.3644514538
16	0.357380926
17	0.3514628874
18	0.3457292248
19	0.3406794847
20	0.3359702402
21	0.3322162121
22	0.3294700192
23	0.326030882
24	0.3230289276
25	0.3203551563
26	0.3177141738
27	0.3156901925
28	0.3137096933
29	0.3118650831
30	0.3104799895
31	0.3090665959
32	0.3078214804
33	0.3066604973
34	0.3054621456
35	0.3043106978
36	0.3033958602
37	0.3024171447
38	0.3015507129
39	0.3007016663
40	0.2999306262
41	0.2992933236
42	0.2986770166
43	0.2979710153
44	0.2974627791
45	0.2968810954
46	0.2962857007
47	0.2958337061
48	0.2953065679
49	0.29504388
50	0.2946470883
51	0.2942377765
52	0.2938794983
53	0.293490541
54	0.2931897935
55	0.2928760991
56	0.2925842112
57	0.2923604392
58	0.2921050627
59	0.2918701026
60	0.2916198361
61	0.2914038982
62	0.2912781396
63	0.2910698831
64	0.2908868142
65	0.2906421566
66	0.2904715096
67	0.2902887516
68	0.2900702814
69	0.2898894773
70	0.2897252711
71	0.2895454329
72	0.2894257455
73	0.2892605729
74	0.2891440332
75	0.2890003822
76	0.288823213
77	0.2886863045
78	0.2885337999
79	0.2884150044
80	0.2882280124
81	0.2882245365
82	0.2880829119
83	0.2879202601
84	0.2878451942
85	0.2877190967
86	0.2875970352
87	0.287503405
88	0.2873907327
89	0.2873339729
90	0.2872333399
91	0.2871344288
92	0.2870207327
93	0.2869438173
94	0.2868606017
95	0.2867646834
96	0.2866770582
97	0.286584659
98	0.2865176611
99	0.28640489
100	0.2863287461
101	0.2862841559
102	0.2861953426
103	0.2861001981
104	0.2860279141
105	0.2859783943
106	0.2858793896
107	0.2858010106
108	0.2857148524
109	0.285614262
110	0.2854960322
111	0.2854157913
112	0.2853560538
113	0.2852897214
114	0.2851839225
115	0.2851413184
116	0.2850406344
117	0.2849545193
118	0.2848470323
119	0.2848232743
120	0.2847549492
121	0.284651356
122	0.2845762238
123	0.2845157398
124	0.2844944615
125	0.2844251936
126	0.2843860383
127	0.2843224352
128	0.2842707605
129	0.2841953663
130	0.2841029296
131	0.2840322913
132	0.2839991498
133	0.2838929953
134	0.2838901275
135	0.2838648762
136	0.2838113417
137	0.2837279877
138	0.2836690865
139	0.2836245602
140	0.2835817678
141	0.2835291832
142	0.2834499769
143	0.2834285535
144	0.2833647524
145	0.2832946226
146	0.2832780683
147	0.2831980969
148	0.283131072
149	0.2830377101
150	0.2829505243
151	0.2829037354
152	0.282900305
153	0.2828581779
154	0.2828017965
155	0.2827562797
156	0.2826982198
157	0.282652766
158	0.2825973257
159	0.2825509241
160	0.2825073957
161	0.282449051
162	0.2823444773
163	0.2823110603
164	0.2822980448
165	0.2822432981
166	0.2822020634
167	0.2821684641
168	0.2821167808
169	0.28210168
170	0.2820690051
171	0.2820527922
172	0.2820144553
173	0.282014441
174	0.2819914957
175	0.2819625526
176	0.2818935037
177	0.281842984
178	0.2817984394
179	0.2817747436
180	0.2816894927
181	0.2816402678
182	0.2815758353
183	0.2815408286
184	0.2815079316
185	0.2815078549
186	0.2814828749
187	0.2814726434
188	0.281433313
189	0.2813937274
190	0.2813634328
191	0.281329711
192	0.2812370694
193	0.2811793195
194	0.2810605034
195	0.2810248096
196	0.2809777136
197	0.280902486
198	0.2808330937
199	0.2807833036
200	0.2807365257
201	0.2807288129
202	0.2806707804
203	0.2805967051
204	0.2805711278
205	0.2805200852
206	0.2804963776
207	0.280423277
208	0.2803828238
209	0.2803362603
210	0.2803145253
211	0.2802499728
212	0.2801994848
213	0.2801682777
214	0.2801210032
215	0.2800512894
216	0.2799779309
217	0.2799594282
218	0.2799277824
219	0.2799258707
220	0.2798527884
221	0.2798182052
222	0.2797226213
223	0.2796450369
224	0.2796240156
225	0.2795961919
226	0.2795343418
227	0.2795056881
228	0.2794598978
229	0.2794365132
230	0.2793890177
231	0.2793547961
232	0.2793003781
233	0.2792803698
234	0.2792355422
235	0.2791614216
236	0.2791075527
237	0.2790811827
238	0.2790033557
239	0.27894545
240	0.2788862885
241	0.2788026551
242	0.2787638879
243	0.278677399
244	0.2786411883
245	0.2785792654
246	0.2785379735
247	0.2784936717
248	0.2784618212
249	0.2784496163
250	0.2784207909
251	0.2783734947
252	0.278303635
253	0.2782561652
254	0.2781876437
255	0.2781753677
256	0.2781373521
257	0.2781151949
258	0.2780681097
259	0.2780365833
260	0.2779739689
261	0.2779169124
262	0.2778661009
263	0.2777715726
264	0.2777088238
265	0.2776486634
266	0.2775980478
267	0.2775605087
268	0.2775120284
269	0.2774501791
270	0.2773968283
271	0.2773582534
272	0.2773115728
273	0.2772497636
274	0.2771931593
275	0.2771191991
276	0.2770605323
277	0.2770111125
278	0.2769352829
279	0.2769115658
280	0.2768841668
281	0.276845024
282	0.2768073266
283	0.2767628836
284	0.2767238295
285	0.2766803735
286	0.2766287242
287	0.2766004734
288	0.2765271344
289	0.2764789706
290	0.2764075415
291	0.276325546
292	0.2762688758
293	0.2762234136
294	0.2761699649
295	0.2761404388
296	0.2760629993
297	0.2759977864
298	0.2759094466
299	0.2758260752
300	0.2757492778
301	0.2756835901
302	0.2756249973
303	0.2755799202
304	0.2755405856
305	0.2754741691
306	0.275394418
307	0.2753594409
308	0.2752841673
309	0.2752318972
310	0.2752072866
311	0.2751480571
312	0.2750953528
313	0.2750440805
314	0.2750169346
315	0.2749837969
316	0.274933959
317	0.2748679631
318	0.2747965739
319	0.2747403829
320	0.2747120192
321	0.2746495952
322	0.2746306014
323	0.2745641881
324	0.2745296074
325	0.2744878325
326	0.2744477038
327	0.2743796215
328	0.2743145466
329	0.2742735887
330	0.2742221313
331	0.2741436409
332	0.2741068972
333	0.2740617501
334	0.2740357417
335	0.2739910884
336	0.2739680078
337	0.2739276734
338	0.2738808111
339	0.2738315183
340	0.2737943573
341	0.2737529369
342	0.2736826571
343	0.2736206973
344	0.2735776164
345	0.2735222089
346	0.2734628877
347	0.273418179
348	0.2733460496
349	0.2732973002
350	0.2732349425
351	0.2731639998
352	0.27310314
353	0.2730548655
354	0.2730000878
355	0.2729802409
356	0.2729327654
357	0.2728896535
358	0.2728515395
359	0.272814279
360	0.2727589422
361	0.2726887525
362	0.2726625806
363	0.2726233754
364	0.2725910067
365	0.2725440179
366	0.2724978724
