iter	Passed	Remaining
396	47581	551679
397	47665	551142
398	47751	550635
399	47832	550078
400	47981	550289
401	48117	550359
402	48246	550350
403	48369	550264
404	48459	549808
405	48550	549365
406	48719	549801
407	48857	549886
408	48987	549881
409	49168	550451
410	49311	550581
411	49420	550343
412	49538	550201
413	49684	550370
414	49807	550282
415	49942	550327
416	50074	550337
417	50255	550883
418	50393	550962
419	50516	550870
420	50637	550756
421	50722	550259
422	50811	549799
423	50868	548997
424	50957	548538
425	51038	548008
426	51145	547745
427	51274	547723
428	51390	547564
429	51482	547149
430	51596	546970
431	51708	546771
432	51852	546910
433	51979	546862
434	52082	546570
435	52190	546323
436	52292	546020
437	52444	546235
438	52603	546525
439	52737	546553
440	52854	546400
441	52946	545996
442	53047	545679
443	53153	545420
444	53248	545052
445	53357	544824
446	53528	545227
447	53623	544854
448	53726	544561
449	53827	544256
450	53957	544244
451	54077	544127
452	54191	543953
453	54293	543647
454	54379	543200
455	54483	542920
456	55583	552547
457	55712	552499
458	55805	552097
459	55915	551857
460	56027	551650
461	56145	551491
462	56259	551291
463	56381	551180
464	56483	550868
465	56565	550356
466	56747	550831
467	56848	550504
468	56953	550223
469	57047	549839
470	57124	549292
471	57231	549032
472	57357	548961
473	57476	548813
474	57581	548540
475	57681	548215
476	57800	548074
477	57932	548059
478	58040	547812
479	58122	547317
480	58233	547104
481	58391	547326
482	58495	547046
483	58606	546830
484	58722	546660
485	58837	546484
486	59033	547063
487	59152	546918
488	59283	546883
489	59381	546554
490	59468	546117
491	59559	545724
492	59721	545969
493	59840	545833
494	59941	545523
495	60061	545392
496	60212	545545
497	60354	545617
498	60549	546160
499	60704	546340
500	60818	546148
501	60933	545974
502	61039	545716
503	61121	545241
504	61266	545335
505	61375	545104
506	61476	544804
507	61573	544465
508	61692	544327
509	61825	544309
510	61953	544244
511	62046	543874
512	62155	543648
513	62262	543399
514	62401	543440
515	62516	543263
516	62582	542659
517	62675	542297
518	62815	542346
519	62920	542083
520	63043	541983
521	63140	541657
522	63250	541436
523	63372	541324
524	63562	541795
525	63669	541552
526	63801	541524
527	63964	541758
528	64111	541855
529	64224	541664
530	64395	541966
531	64568	542277
532	64776	542884
533	64923	542975
534	65048	542879
535	65186	542895
536	65339	543032
537	65453	542847
538	65569	542680
539	65679	542462
540	65813	542446
541	65968	542596
542	66105	542598
543	66239	542576
544	66367	542504
545	66521	542648
546	66660	542670
547	66776	542495
548	66896	542364
549	66998	542079
550	67102	541812
551	67223	541681
552	67352	541624
553	67474	541497
554	67607	541471
555	67780	541757
556	67904	541649
557	68006	541370
558	68145	541383
559	68241	541055
560	68383	541097
561	68492	540871
562	68622	540816
563	68740	540663
564	68839	540357
565	68971	540317
566	69166	540765
567	69281	540592
568	69397	540421
569	69482	540016
570	69575	539665
571	69697	539548
572	69827	539489
573	69991	539687
574	70108	539532
575	70182	539043
576	70332	539130
577	70410	538680
578	70485	538199
579	70566	537764
580	70670	537509
581	70787	537351
582	70911	537248
583	71002	536893
584	71073	536395
585	71171	536092
586	71275	535844
587	71453	536143
588	71562	535931
589	71669	535695
590	71773	535445
591	71889	535285
592	72015	535196
593	72130	535026
594	72231	534756
595	72334	534500
596	72480	534559
